Date,PriceOfA,PriceOfB,Position,Quantity,NetBalance,Profit,Loss,CumulProfit,CumulLoss
1992-07-26,103.656,109.109375,Closed,0,9399.446499999987,0.0,0.0,248984.2185,249584.77199999994
1992-07-27,104.094,109.09375,Closed,0,9399.446499999987,0.0,0.0,248984.2185,249584.77199999994
1992-07-28,105.156,109.28125,Short,-5,9924.726499999988,525.78,0.5,248984.2185,249584.77199999994
1992-07-29,105.156,109.296875,Closed,0,9398.446499999987,0.0,526.28,249509.9985,249585.27199999994
1992-07-30,104.875,108.640625,Long,10,8348.696499999987,0.0,1049.75,249509.9985,250111.55199999994
1992-07-31,104.844,108.296875,Long,10,8348.696499999987,0.0,0.0,249509.9985,251161.30199999994
1992-08-01,104.844,108.296875,Closed,0,9396.136499999988,1048.44,1.0,249509.9985,251161.30199999994
1992-08-02,104.844,108.296875,Closed,0,9396.136499999988,0.0,0.0,250558.4385,251162.30199999994
1992-08-03,104.875,108.3125,Closed,0,9396.136499999988,0.0,0.0,250558.4385,251162.30199999994
1992-08-04,105.25,108.78125,Short,-5,9921.886499999988,526.25,0.5,250558.4385,251162.30199999994
1992-08-05,105.312,108.875,Closed,0,9394.826499999988,0.0,527.06,251084.6885,251162.80199999994
1992-08-06,105.125,108.96875,Closed,0,9394.826499999988,0.0,0.0,251084.6885,251689.86199999994
1992-08-07,105.875,109.546875,Short,-5,9923.701499999988,529.375,0.5,251084.6885,251689.86199999994
1992-08-08,105.875,109.546875,Closed,0,9393.826499999988,0.0,529.875,251614.0635,251690.36199999994
1992-08-09,105.875,109.546875,Closed,0,9393.826499999988,0.0,0.0,251614.0635,252220.23699999994
1992-08-10,106.281,109.859375,Short,-5,9924.731499999989,531.405,0.5,251614.0635,252220.23699999994
1992-08-11,106.719,109.859375,Closed,0,9390.63649999999,0.0,534.095,252145.4685,252220.73699999994
1992-08-12,106.75,109.671875,Closed,0,9390.63649999999,0.0,0.0,252145.4685,252754.83199999994
1992-08-13,105.594,109.296875,Long,10,8333.69649999999,0.0,1056.94,252145.4685,252754.83199999994
1992-08-14,106.0,109.5625,Long,5,8863.19649999999,530.0,0.5,252145.4685,253811.77199999994
1992-08-15,106.0,109.5625,Closed,0,9392.69649999999,530.0,0.5,252675.4685,253812.27199999994
1992-08-16,106.0,109.5625,Closed,0,9392.69649999999,0.0,0.0,253205.4685,253812.77199999994
1992-08-17,105.5,109.53125,Closed,0,9392.69649999999,0.0,0.0,253205.4685,253812.77199999994
1992-08-18,106.031,110.03125,Short,-5,9922.35149999999,530.155,0.5,253205.4685,253812.77199999994
1992-08-19,106.094,110.15625,Short,-5,9922.35149999999,0.0,0.0,253735.6235,253813.27199999994
1992-08-20,106.25,110.21875,Closed,0,9390.60149999999,0.0,531.75,253735.6235,253813.27199999994
1992-08-21,105.688,109.734375,Long,10,8332.721499999989,0.0,1057.88,253735.6235,254345.02199999994
1992-08-22,105.688,109.734375,Closed,0,9388.60149999999,1056.88,1.0,253735.6235,255402.90199999994
1992-08-23,105.688,109.734375,Closed,0,9388.60149999999,0.0,0.0,254792.5035,255403.90199999994
1992-08-24,104.719,109.03125,Long,10,8340.41149999999,0.0,1048.19,254792.5035,255403.90199999994
1992-08-25,104.375,108.890625,Closed,0,9383.16149999999,1043.75,1.0,254792.5035,256452.09199999995
1992-08-26,104.781,109.109375,Short,-5,9906.56649999999,523.905,0.5,255836.2535,256453.09199999995
1992-08-27,104.969,109.359375,Short,-5,9906.56649999999,0.0,0.0,256360.1585,256453.59199999995
1992-08-28,105.0,109.578125,Closed,0,9381.06649999999,0.0,525.5,256360.1585,256453.59199999995
1992-08-29,105.0,109.578125,Closed,0,9381.06649999999,0.0,0.0,256360.1585,256979.09199999995
1992-08-30,105.0,109.578125,Closed,0,9381.06649999999,0.0,0.0,256360.1585,256979.09199999995
1992-08-31,105.156,109.65625,Closed,0,9381.06649999999,0.0,0.0,256360.1585,256979.09199999995
1992-09-01,105.75,109.984375,Short,-5,9909.31649999999,528.75,0.5,256360.1585,256979.09199999995
1992-09-02,105.938,110.09375,Closed,0,9379.12649999999,0.0,530.19,256888.9085,256979.59199999995
1992-09-03,106.031,110.109375,Closed,0,9379.12649999999,0.0,0.0,256888.9085,257509.78199999995
1992-09-04,107.188,111.125,Short,-5,9914.56649999999,535.94,0.5,256888.9085,257509.78199999995
1992-09-05,107.188,111.125,Closed,0,9378.12649999999,0.0,536.44,257424.8485,257510.28199999995
1992-09-06,107.188,111.125,Closed,0,9378.12649999999,0.0,0.0,257424.8485,258046.72199999995
1992-09-07,107.188,111.125,Closed,0,9378.12649999999,0.0,0.0,257424.8485,258046.72199999995
1992-09-08,108.156,111.609375,Short,-5,9918.40649999999,540.78,0.5,257424.8485,258046.72199999995
1992-09-09,107.812,111.359375,Closed,0,9378.84649999999,0.0,539.56,257965.6285,258047.22199999995
1992-09-10,108.0,111.3125,Closed,0,9378.84649999999,0.0,0.0,257965.6285,258586.78199999995
1992-09-11,107.188,111.0,Long,10,8305.966499999991,0.0,1072.88,257965.6285,258586.78199999995
1992-09-12,107.188,111.0,Closed,0,9376.846499999992,1071.88,1.0,257965.6285,259659.66199999995
1992-09-13,107.188,111.0,Closed,0,9376.846499999992,0.0,0.0,259037.5085,259660.66199999995
1992-09-14,107.562,111.328125,Short,-5,9914.156499999992,537.81,0.5,259037.5085,259660.66199999995
1992-09-15,106.781,110.875,Long,5,8845.346499999992,0.0,1068.81,259575.3185,259661.16199999995
1992-09-16,106.625,110.890625,Closed,0,9377.971499999992,533.125,0.5,259575.3185,260729.97199999995
1992-09-17,106.688,110.890625,Closed,0,9377.971499999992,0.0,0.0,260108.4435,260730.47199999995
1992-09-18,107.031,110.875,Closed,0,9377.971499999992,0.0,0.0,260108.4435,260730.47199999995
1992-09-19,107.031,110.875,Closed,0,9377.971499999992,0.0,0.0,260108.4435,260730.47199999995
1992-09-20,107.031,110.875,Closed,0,9377.971499999992,0.0,0.0,260108.4435,260730.47199999995
1992-09-21,106.5,110.65625,Long,10,8311.971499999992,0.0,1066.0,260108.4435,260730.47199999995
1992-09-22,104.25,109.125,Long,10,8311.971499999992,0.0,0.0,260108.4435,261796.47199999995
1992-09-23,103.812,108.953125,Closed,0,9349.091499999991,1038.12,1.0,260108.4435,261796.47199999995
1992-09-24,104.625,109.34375,Short,-5,9871.716499999991,523.125,0.5,261146.5635,261797.47199999995
1992-09-25,105.531,109.90625,Short,-5,9871.716499999991,0.0,0.0,261669.6885,261797.97199999995
1992-09-26,105.531,109.90625,Closed,0,9343.56149999999,0.0,528.155,261669.6885,261797.97199999995
1992-09-27,105.531,109.90625,Closed,0,9343.56149999999,0.0,0.0,261669.6885,262326.127
1992-09-28,105.719,110.1875,Closed,0,9343.56149999999,0.0,0.0,261669.6885,262326.127
1992-09-29,105.5,110.0625,Closed,0,9343.56149999999,0.0,0.0,261669.6885,262326.127
1992-09-30,105.312,110.015625,Closed,0,9343.56149999999,0.0,0.0,261669.6885,262326.127
1992-10-01,106.25,110.625,Short,-5,9874.31149999999,531.25,0.5,261669.6885,262326.127
1992-10-02,105.844,110.5625,Closed,0,9344.591499999991,0.0,529.72,262200.9385,262326.627
1992-10-03,105.844,110.5625,Closed,0,9344.591499999991,0.0,0.0,262200.9385,262856.34699999995
1992-10-04,105.844,110.5625,Closed,0,9344.591499999991,0.0,0.0,262200.9385,262856.34699999995
1992-10-05,105.75,110.75,Short,-5,9872.841499999991,528.75,0.5,262200.9385,262856.34699999995
1992-10-06,104.906,110.4375,Long,5,8822.781499999992,0.0,1050.06,262729.6885,262856.84699999995
1992-10-07,103.938,109.609375,Long,5,8822.781499999992,0.0,0.0,262729.6885,263906.90699999995
1992-10-08,104.281,109.90625,Closed,0,9343.686499999993,521.405,0.5,262729.6885,263906.90699999995
1992-10-09,103.531,109.328125,Long,10,8307.376499999993,0.0,1036.31,263251.0935,263907.40699999995
1992-10-10,103.531,109.328125,Closed,0,9341.686499999993,1035.31,1.0,263251.0935,264943.71699999995
1992-10-11,103.531,109.328125,Closed,0,9341.686499999993,0.0,0.0,264286.4035,264944.71699999995
1992-10-12,103.656,109.375,Closed,0,9341.686499999993,0.0,0.0,264286.4035,264944.71699999995
1992-10-13,103.562,109.421875,Closed,0,9341.686499999993,0.0,0.0,264286.4035,264944.71699999995
1992-10-14,104.0,109.421875,Closed,0,9341.686499999993,0.0,0.0,264286.4035,264944.71699999995
1992-10-15,104.062,109.390625,Closed,0,9341.686499999993,0.0,0.0,264286.4035,264944.71699999995
1992-10-16,103.688,109.21875,Long,10,8303.806499999992,0.0,1037.88,264286.4035,264944.71699999995
1992-10-17,103.688,109.21875,Closed,0,9339.686499999993,1036.88,1.0,264286.4035,265982.59699999995
1992-10-18,103.688,109.21875,Closed,0,9339.686499999993,0.0,0.0,265323.2835,265983.59699999995
1992-10-19,103.25,108.6875,Long,10,8306.186499999993,0.0,1033.5,265323.2835,265983.59699999995
1992-10-20,102.312,107.796875,Long,10,8306.186499999993,0.0,0.0,265323.2835,267017.09699999995
1992-10-21,102.531,108.171875,Long,5,8818.341499999993,512.655,0.5,265323.2835,267017.09699999995
1992-10-22,102.906,108.375,Closed,0,9332.371499999994,514.53,0.5,265835.93850000005,267017.59699999995
1992-10-23,102.438,107.90625,Long,10,8306.991499999993,0.0,1025.38,266350.4685000001,267018.09699999995
1992-10-24,102.438,107.90625,Closed,0,9330.371499999994,1024.38,1.0,266350.4685000001,268043.47699999996
1992-10-25,102.438,107.90625,Closed,0,9330.371499999994,0.0,0.0,267374.8485000001,268044.47699999996
1992-10-26,102.438,107.84375,Closed,0,9330.371499999994,0.0,0.0,267374.8485000001,268044.47699999996
1992-10-27,102.875,108.234375,Short,-5,9844.246499999994,514.375,0.5,267374.8485000001,268044.47699999996
1992-10-28,102.656,108.1875,Closed,0,9330.466499999993,0.0,513.78,267889.2235000001,268044.97699999996
